District,Date,Daily Rainfall (m.m),Progressive (m.m)
Mumbai City Maharashtra,6/1/2025,6.2,6.2
Mumbai City Maharashtra,6/2/2025,1.6,7.8
Mumbai City Maharashtra,6/3/2025,0.4,8.2
Mumbai City Maharashtra,6/4/2025,5.4,13.6
Mumbai City Maharashtra,6/5/2025,16,29.6
Mumbai City Maharashtra,6/6/2025,0,29.6
Mumbai City Maharashtra,6/7/2025,11.8,41.4
Mumbai City Maharashtra,6/8/2025,41,82.4
Mumbai City Maharashtra,6/9/2025,0,82.4
Mumbai City Maharashtra,6/10/2025,1.4,83.8
Mumbai City Maharashtra,6/11/2025,0,83.8
Mumbai City Maharashtra,6/12/2025,0.1,83.9
Mumbai City Maharashtra,6/13/2025,18.2,102.1
Mumbai City Maharashtra,6/14/2025,25.4,127.5
Mumbai City Maharashtra,6/15/2025,33.6,161.1
Mumbai City Maharashtra,6/16/2025,100.4,261.5
Mumbai City Maharashtra,6/17/2025,62.9,324.4
Mumbai City Maharashtra,6/18/2025,6.8,331.2
Mumbai City Maharashtra,6/19/2025,142.6,473.8
Mumbai City Maharashtra,6/20/2025,1,474.8
Mumbai City Maharashtra,6/21/2025,1,475.8
Mumbai City Maharashtra,6/22/2025,2,477.8
Mumbai City Maharashtra,6/23/2025,6.2,484
Mumbai City Maharashtra,6/24/2025,61.2,545.2
Mumbai City Maharashtra,6/25/2025,0,545.2
Mumbai City Maharashtra,6/26/2025,3,548.2
Mumbai City Maharashtra,6/27/2025,14.6,562.8
Mumbai City Maharashtra,6/28/2025,22.8,585.6
Mumbai City Maharashtra,6/29/2025,5.8,591.4
Mumbai City Maharashtra,6/30/2025,0.6,592
Mumbai City Maharashtra,7/1/2025,6.4,598.4
Mumbai City Maharashtra,7/2/2025,7.2,605.6
Mumbai City Maharashtra,7/3/2025,46.4,652
Mumbai City Maharashtra,7/4/2025,14.8,666.8
Mumbai City Maharashtra,7/5/2025,9,675.8
Mumbai City Maharashtra,7/6/2025,8.4,684.2
Mumbai City Maharashtra,7/7/2025,1.4,685.6
Mumbai City Maharashtra,7/8/2025,0.2,685.8
Mumbai City Maharashtra,7/9/2025,3,688.8
Mumbai City Maharashtra,7/10/2025,0.6,689.4
Mumbai City Maharashtra,7/11/2025,0,689.4
Mumbai City Maharashtra,7/12/2025,11.4,700.8
Mumbai City Maharashtra,7/13/2025,0.2,701
Mumbai City Maharashtra,7/14/2025,14.6,715.6
Mumbai City Maharashtra,7/15/2025,12.2,727.8
Mumbai City Maharashtra,7/16/2025,5,732.8
Mumbai City Maharashtra,7/17/2025,0,732.8
Mumbai City Maharashtra,7/18/2025,0,732.8
Mumbai City Maharashtra,7/19/2025,0.6,733.4
Mumbai City Maharashtra,7/20/2025,1.4,734.8
Mumbai City Maharashtra,7/21/2025,11.2,746
Mumbai City Maharashtra,7/22/2025,40.2,786.2
Mumbai City Maharashtra,7/23/2025,86.6,872.8
Mumbai City Maharashtra,7/24/2025,29,901.8
Mumbai City Maharashtra,7/25/2025,22.4,924.2
Mumbai City Maharashtra,7/26/2025,17.2,941.4
Mumbai City Maharashtra,7/27/2025,9,950.4
Mumbai City Maharashtra,7/28/2025,6.6,957
Mumbai City Maharashtra,7/29/2025,2.6,959.6
Mumbai City Maharashtra,7/30/2025,10.8,970.4
Mumbai City Maharashtra,7/31/2025,2.6,973
Mumbai City Maharashtra,8/1/2025,0,973
Mumbai City Maharashtra,8/2/2025,0,973
Mumbai City Maharashtra,8/3/2025,2.8,975.8
Mumbai City Maharashtra,8/4/2025,0.2,976.6
Mumbai City Maharashtra,8/5/2025,0,976
Mumbai City Maharashtra,8/6/2025,1.2,977.2
Mumbai City Maharashtra,8/7/2025,10.2,987.4
Mumbai City Maharashtra,8/8/2025,2.6,990
Mumbai City Maharashtra,8/9/2025,6.4,996.4
Mumbai City Maharashtra,8/10/2025,1.6,998
Mumbai City Maharashtra,8/11/2025,8.4,1006.4
Mumbai City Maharashtra,8/12/2025,8.6,1015
Mumbai City Maharashtra,8/13/2025,5.6,1020.6
