id,name,lat,lng,elevation_m,depth_m,chamber_radius_m,catchment_area_m2,runoff_coeff,ponding_area_m2
MH_ANDHERI_3,SV Road North Junction,19.117,72.844,6.2,2.8,1.0,4200.0,0.85,300.0
MH_ANDHERI_1,Andheri Subway Invert,19.1197,72.8464,2.4,3.5,1.2,7500.0,0.95,350.0
MH_ANDHERI_2,Andheri West Elevated Sump,19.1215,72.841,5.8,3.0,1.0,4500.0,0.85,320.0
MH_MILAN_1,Milan Subway Depressed Basin,19.088,72.842,2.1,3.8,1.3,8000.0,0.95,400.0
MH_MILAN_2,Santacruz West Main Sump,19.0825,72.8395,5.2,3.2,1.1,5000.0,0.85,360.0
MH_BKC_1,BKC Elevated Gateway Drain,19.062,72.868,7.5,3.2,1.2,4800.0,0.85,300.0
MH_KURLA_1,Kurla Mithi River Basin Inflow,19.0657,72.8794,1.9,4.2,1.5,9500.0,0.95,500.0
MH_KURLA_2,LBS Marg Kurla Station Drain,19.071,72.876,4.2,3.2,1.2,6000.0,0.88,380.0
MH_GANDHI_1,Gandhi Market Kings Circle Sump,19.031,72.859,2.2,3.9,1.4,8500.0,0.95,450.0
MH_GANDHI_2,Sion Road Drainage Node,19.038,72.862,5.5,3.0,1.0,4800.0,0.85,320.0
MH_HINDMATA_1,Hindmata Flyover Low Point,19.0117,72.8437,2.3,3.6,1.3,8200.0,0.92,420.0
MH_DHARAVI_1,Dharavi Creek Junction Drain,19.043,72.852,2.8,3.8,1.3,6500.0,0.88,400.0
MH_BANDRA_REC,Bandra Reclamation Elevated Highway,19.0515,72.8315,8.5,3.0,1.1,3500.0,0.8,280.0
MH_SHELTER_BANDRA,Bandra West Emergency Relief Center,19.055,72.835,12.0,3.5,1.2,2500.0,0.75,500.0
