id,source_node,target_node,diameter_m,length_m,manning_n
PIPE_ANDHERI_3_1,MH_ANDHERI_3,MH_ANDHERI_1,1.0,450.0,0.013
PIPE_ANDHERI_1_MILAN,MH_ANDHERI_1,MH_MILAN_1,1.4,3200.0,0.014
PIPE_ANDHERI_2_MILAN2,MH_ANDHERI_2,MH_MILAN_2,1.2,3600.0,0.013
PIPE_MILAN_1_BANDRA,MH_MILAN_1,MH_SHELTER_BANDRA,1.5,2900.0,0.014
PIPE_MILAN_2_REC,MH_MILAN_2,MH_BANDRA_REC,1.3,2800.0,0.013
PIPE_BKC_KURLA,MH_BKC_1,MH_KURLA_1,1.2,850.0,0.013
PIPE_KURLA_DHARAVI,MH_KURLA_1,MH_DHARAVI_1,1.6,2200.0,0.015
PIPE_GANDHI_DHARAVI,MH_GANDHI_1,MH_DHARAVI_1,1.4,1500.0,0.014
PIPE_DHARAVI_REC,MH_DHARAVI_1,MH_BANDRA_REC,1.6,1900.0,0.014
PIPE_REC_SHELTER,MH_BANDRA_REC,MH_SHELTER_BANDRA,1.4,600.0,0.013
